Date,Stage,Flow
2021-07-01 0:00,1.23,9.74
2021-07-01 0:05,1.231,9.77
2021-07-01 0:10,1.231,9.77
2021-07-01 0:15,1.231,9.77
2021-07-01 0:20,1.231,9.77
2021-07-01 0:25,1.229,9.7
2021-07-01 0:30,1.232,9.8
2021-07-01 0:35,1.232,9.8
2021-07-01 0:40,1.23,9.74
2021-07-01 0:45,1.23,9.74
2021-07-01 0:50,1.23,9.74
2021-07-01 0:55,1.231,9.77
2021-07-01 1:00,1.229,9.7
2021-07-01 1:05,1.23,9.74
2021-07-01 1:10,1.232,9.8
2021-07-01 1:15,1.23,9.74
2021-07-01 1:20,1.232,9.8
2021-07-01 1:25,1.231,9.77
2021-07-01 1:30,1.232,9.8
2021-07-01 1:35,1.23,9.74
2021-07-01 1:40,1.231,9.77
2021-07-01 1:45,1.23,9.74
2021-07-01 1:50,1.23,9.74
2021-07-01 1:55,1.23,9.74
2021-07-01 2:00,1.23,9.74
2021-07-01 2:05,1.229,9.7
2021-07-01 2:10,1.228,9.67
2021-07-01 2:15,1.228,9.67
2021-07-01 2:20,1.229,9.7
2021-07-01 2:25,1.228,9.67
2021-07-01 2:30,1.228,9.67
2021-07-01 2:35,1.228,9.67
2021-07-01 2:40,1.228,9.67
2021-07-01 2:45,1.226,9.6
2021-07-01 2:50,1.228,9.67
2021-07-01 2:55,1.227,9.63
2021-07-01 3:00,1.23,9.74
2021-07-01 3:05,1.228,9.67
2021-07-01 3:10,1.228,9.67
2021-07-01 3:15,1.226,9.6
2021-07-01 3:20,1.225,9.57
2021-07-01 3:25,1.225,9.57
2021-07-01 3:30,1.227,9.63
2021-07-01 3:35,1.224,9.53
2021-07-01 3:40,1.226,9.6
2021-07-01 3:45,1.225,9.57
2021-07-01 3:50,1.224,9.53
2021-07-01 3:55,1.224,9.53
2021-07-01 4:00,1.224,9.53
2021-07-01 4:05,1.224,9.53
2021-07-01 4:10,1.224,9.53
2021-07-01 4:15,1.222,9.47
2021-07-01 4:20,1.222,9.47
2021-07-01 4:25,1.223,9.5
2021-07-01 4:30,1.222,9.47
2021-07-01 4:35,1.222,9.47
2021-07-01 4:40,1.222,9.47
2021-07-01 4:45,1.223,9.5
2021-07-01 4:50,1.221,9.44
2021-07-01 4:55,1.222,9.47
2021-07-01 5:00,1.221,9.44
2021-07-01 5:05,1.221,9.44
2021-07-01 5:10,1.221,9.44
2021-07-01 5:15,1.22,9.4
2021-07-01 5:20,1.219,9.37
2021-07-01 5:25,1.219,9.37
2021-07-01 5:30,1.22,9.4
2021-07-01 5:35,1.218,9.34
2021-07-01 5:40,1.218,9.34
2021-07-01 5:45,1.219,9.37
2021-07-01 5:50,1.219,9.37
2021-07-01 5:55,1.216,9.27
2021-07-01 6:00,1.217,9.3
2021-07-01 6:05,1.217,9.3
2021-07-01 6:10,1.215,9.24
2021-07-01 6:15,1.215,9.24
2021-07-01 6:20,1.215,9.24
2021-07-01 6:25,1.214,9.21
2021-07-01 6:30,1.214,9.21
2021-07-01 6:35,1.214,9.21
2021-07-01 6:40,1.215,9.24
2021-07-01 6:45,1.213,9.17
2021-07-01 6:50,1.213,9.17
2021-07-01 6:55,1.213,9.17
2021-07-01 7:00,1.212,9.14
2021-07-01 7:05,1.213,9.17
2021-07-01 7:10,1.215,9.24
2021-07-01 7:15,1.212,9.14
2021-07-01 7:20,1.213,9.17
2021-07-01 7:25,1.212,9.14
2021-07-01 7:30,1.211,9.11
2021-07-01 7:35,1.212,9.14
2021-07-01 7:40,1.21,9.08
2021-07-01 7:45,1.21,9.08
2021-07-01 7:50,1.21,9.08
2021-07-01 7:55,1.21,9.08
2021-07-01 8:00,1.208,9.01
2021-07-01 8:05,1.21,9.08
2021-07-01 8:10,1.211,9.11
2021-07-01 8:15,1.209,9.05
2021-07-01 8:20,1.208,9.01
2021-07-01 8:25,1.209,9.05
2021-07-01 8:30,1.208,9.01
2021-07-01 8:35,1.207,8.98
2021-07-01 8:40,1.207,8.98
2021-07-01 8:45,1.207,8.98
2021-07-01 8:50,1.207,8.98
2021-07-01 8:55,1.207,8.98
2021-07-01 9:00,1.207,8.98
2021-07-01 9:05,1.207,8.98
2021-07-01 9:10,1.206,8.95
2021-07-01 9:15,1.207,8.98
2021-07-01 9:20,1.205,8.92
2021-07-01 9:25,1.204,8.89
2021-07-01 9:30,1.204,8.89
2021-07-01 9:35,1.205,8.92
2021-07-01 9:40,1.203,8.85
2021-07-01 9:45,1.203,8.85
2021-07-01 9:50,1.204,8.89
2021-07-01 9:55,1.204,8.89
2021-07-01 10:00,1.205,8.92
2021-07-01 10:05,1.202,8.82
2021-07-01 10:10,1.202,8.82
2021-07-01 10:15,1.203,8.85
2021-07-01 10:20,1.201,8.79
2021-07-01 10:25,1.201,8.79
2021-07-01 10:30,1.202,8.82
2021-07-01 10:35,1.201,8.79
2021-07-01 10:40,1.201,8.79
2021-07-01 10:45,1.2,8.76
2021-07-01 10:50,1.201,8.79
2021-07-01 10:55,1.199,8.73
2021-07-01 11:00,1.2,8.76
2021-07-01 11:05,1.2,8.76
2021-07-01 11:10,1.199,8.73
2021-07-01 11:15,1.199,8.73
2021-07-01 11:20,1.197,8.66
2021-07-01 11:25,1.198,8.7
2021-07-01 11:30,1.197,8.66
2021-07-01 11:35,1.198,8.7
2021-07-01 11:40,1.198,8.7
2021-07-01 11:45,1.197,8.66
2021-07-01 11:50,1.197,8.66
2021-07-01 11:55,1.195,8.6
2021-07-01 12:00,1.196,8.63
2021-07-01 12:05,1.196,8.63
2021-07-01 12:10,1.197,8.66
2021-07-01 12:15,1.194,8.57
2021-07-01 12:20,1.194,8.57
2021-07-01 12:25,1.195,8.6
2021-07-01 12:30,1.195,8.6
2021-07-01 12:35,1.193,8.54
2021-07-01 12:40,1.193,8.54
2021-07-01 12:45,1.193,8.54
2021-07-01 12:50,1.192,8.51
2021-07-01 12:55,1.192,8.51
2021-07-01 13:00,1.192,8.51
2021-07-01 13:05,1.192,8.51
